Account No,Date,cost
1112043,2016-01-01,64.86
1112044,2016-07-05,73.74
1112045,2012-10-27,59.25
1112046,2012-01-26,66.34
1112047,2013-04-30,79.75
1112048,2013-11-01,60.17
1112049,2012-09-26,81.55
1112050,2015-07-23,72.62
1112051,2013-11-07,53.41
1112052,2016-02-22,56.78
1112053,2016-01-22,77.27
1112054,2013-09-15,91.95
1112055,2011-08-11,54.06
1112056,2011-03-01,66.99
1112057,2012-10-27,85.66
1112058,2011-09-10,66.38
1112059,2016-07-17,92.5
1112060,2015-02-18,58.12
1112061,2015-10-16,68.37
1112062,2011-01-07,56.96
1112063,2015-11-19,96.28
1112064,2011-12-13,65.81
1112065,2012-06-15,68.32
1112066,2014-12-11,93.46
1112067,2014-01-10,74.83
1112068,2014-12-31,51.19
1112069,2014-05-16,62.89
1112070,2015-01-16,75.71
1112071,2011-12-12,50.89
1112072,2015-09-30,73.87
1112073,2016-11-08,55.07
1112074,2012-03-27,71.76
1112075,2011-11-02,83.93
1112076,2014-01-07,60.43
1112077,2013-03-13,92.59
1112078,2016-09-09,52.78
1112079,2016-07-16,58.51
1112080,2012-07-17,55.85
1112081,2015-08-18,92.28
1112082,2016-06-01,72.82
1112083,2013-10-17,68.02
1112084,2011-01-23,95.72
1112085,2012-03-22,96.18
1112086,2014-12-27,99.53
1112087,2011-04-10,95.55
1112088,2014-07-11,87.58
1112089,2012-01-30,94.09
1112090,2014-06-01,82.71
1112091,2014-04-25,92.57
1112092,2015-06-17,97.4
1112093,2015-11-23,92.25
1112094,2011-10-06,82.18
1112095,2013-11-14,67.0
1112096,2013-02-22,50.58
1112097,2012-04-13,91.74
1112098,2014-01-07,60.36
1112099,2015-03-10,58.77
1112100,2013-11-16,81.0
1112101,2012-03-11,91.77
1112102,2016-04-24,84.52
1112103,2016-11-11,96.3
1112104,2012-07-19,90.51
1112105,2016-02-15,63.6
1112106,2011-09-06,97.72
1112107,2011-02-25,69.8
1112108,2011-10-18,68.33
1112109,2013-09-27,83.09
1112110,2012-01-26,61.19
