ID;Category;Condition;Title;Availability;Color;Price;
acc789ch;Home > Appliances;refurbished;Ice maker;out of stock;blue;149.99;
xyz678bg;Media > DVDs & Movies;new;Animation;out of stock;white;19.99;
kid345bg;Media > Music;used;Jazz;in stock;orange;130.99;
klm666ch;Apparel & Accessories > Clothing ;new;Jeans;out of stock;yellow;59.99;
wmn111in;Apparel & Accessories > Shoes;refurbished;Boots;pre-order;black;59.99;
dvd222bg;Home > Electronics;used;Remote;pre-order;orange;25.99;
kid333pt;Apparel & Accessories > Clothing ;refurbished;Dress;in stock;orange;39.99;
mvs345us;Home > Electronics;refurbished;Streaming Device;in stock;violet;25.99;
bks555in;Apparel & Accessories > Clothing ;new;Jeans;out of stock;white;101.99;
wmn777in;Media > Music;refurbished;Rock;in stock;violet;25.99;
mgz789pt;Apparel & Accessories > Shoes;new;Running;out of stock;yellow;24.99;
kid342ch;Apparel & Accessories > Clothing ;refurbished;Shirt;in stock;blue;105.99;
klm124co;Media > Music;refurbished;Jazz;in stock;violet;29.99;
inr444us;Miscellaneous;new;Phone;in stock;white;130.99;
mgz124rs;Miscellaneous;refurbished;Phone;in stock;yellow;9.99;
med345pt;Apparel & Accessories > Clothing ;used;Dress;pre-order;orange;59.99;
klm666uk;Apparel & Accessories > Shoes;used;Running;in stock;blue;49.99;
acc456in;Home > Electronics;new;Microwave;pre-order;violet;49.99;
med222us;Media > Music;refurbished;Jazz;out of stock;orange;101.99;
klm555in;Miscellaneous;new;Sunglasses;in stock;red;35.99;
mns123sm;Apparel & Accessories > Shoes;new;Flats;pre-order;white;24.99;
xyz666sm;Apparel & Accessories > Shoes;used;Sandals;in stock;black;89.99;
dvd889us;Home > Appliances;refurbished;Ice maker;in stock;yellow;39.99;
misc567bg;Miscellaneous;used;Chair;pre-order;blue;99.99;
clo777rs;Home > Electronics;refurbished;Microwave;in stock;red;79.99;
klm333pt;Miscellaneous;used;Sunglasses;out of stock;blue;130.99;
xyz123sm;Home > Electronics;refurbished;TV;out of stock;red;24.99;
mns111ch;Apparel & Accessories > Clothing ;used;T-Shirt;in stock;orange;130.99;
bks101uk;Home > Electronics;new;Microwave;pre-order;red;49.99;
mgz234uk;Home > Appliances;refurbished;Ice maker;pre-order;yellow;79.99;
bks889us;Media > Music;new;Pop;pre-order;black;79.99;
kid123ww;Home > Appliances;new;Juice Mixer;pre-order;black;129.99;
sho555ww;Home > Appliances;used;Frying Pans;pre-order;red;49.99;
mvs777ch;Media > Music;new;Pop;out of stock;blue;24.99;
cdh666rs;Miscellaneous;new;Table;out of stock;white;129.99;
mns789rs;Miscellaneous;refurbished;Phone;in stock;orange;79.99;
mvs777ww;Media > Music;refurbished;Rock;pre-order;blue;102.25;
jpu456ch;Home > Electronics;new;Streaming Device;out of stock;black;102.25;
abc889uk;Home > Electronics;new;Streaming Device;pre-order;blue;149.99;
mns123co;Apparel & Accessories > Clothing ;used;Shirt;out of stock;red;24.99;
dvd456co;Miscellaneous;refurbished;Table;in stock;yellow;79.99;
mvs345bg;Home > Electronics;new;TV;pre-order;magenta;79.99;
dvd345us;Home > Electronics;refurbished;Remote;in stock;violet;35.99;
abc678pt;Media > DVDs & Movies;used;Animation;pre-order;blue;149.99;
abc889ww;Home > Appliances;new;Ice maker;pre-order;orange;29.99;
itm111co;Home > Appliances;new;Frying Pans;out of stock;red;105.99;
misc888co;Media > DVDs & Movies;new;Comedy;out of stock;black;29.99;
wmn222rs;Home > Appliances;new;Coffee maker;in stock;yellow;25.99;
jpu333in;Apparel & Accessories > Clothing ;new;Shirt;in stock;blue;69.99;
abc888ww;Apparel & Accessories > Clothing ;used;Dress;out of stock;violet;35.99;
kid999us;Media > Music;used;Jazz;in stock;blue;102.25;
wmn123rs;Miscellaneous;used;Table;out of stock;green;24.99;
wmn111ch;Miscellaneous;used;Phone;pre-order;red;105.99;
clo888bg;Home > Electronics;used;TV;pre-order;orange;69.99;
cdh456ch;Miscellaneous;new;Table;out of stock;green;89.99;
med234uk;Apparel & Accessories > Clothing ;used;T-Shirt;in stock;orange;69.99;
misc888rs;Media > Music;new;Jazz;in stock;green;99.99;
inr234pt;Media > Music;refurbished;Pop;in stock;red;49.99;
clo678rs;Media > Music;new;Jazz;out of stock;magenta;39.99;
mns333co;Apparel & Accessories > Clothing ;used;Jeans;in stock;blue;79.99;
clo777in;Home > Electronics;new;Remote;out of stock;black;149.99;
klm111pt;Home > Electronics;refurbished;Microwave;in stock;violet;24.99;
kid678in;Home > Appliances;new;Coffee maker;pre-order;black;24.99;
misc111sm;Home > Electronics;new;Microwave;out of stock;green;100.5;
wmn111co;Apparel & Accessories > Shoes;new;Flats;in stock;red;25.99;
med999rs;Miscellaneous;refurbished;Phone;in stock;orange;129.99;
bks123ch;Media > Music;used;Pop;in stock;violet;129.99;
misc123uk;Home > Appliances;refurbished;Ice maker;pre-order;magenta;9.99;
mvs222sm;Media > DVDs & Movies;new;Documentary;pre-order;magenta;79.99;
itm234pt;Home > Appliances;new;Coffee maker;out of stock;green;89.99;
wmn345in;Home > Electronics;new;Streaming Device;in stock;magenta;39.99;
inr666uk;Media > Music;new;Pop;in stock;blue;130.99;
mns889pt;Miscellaneous;new;Sunglasses;out of stock;magenta;89.99;
inr124us;Apparel & Accessories > Clothing ;new;Jacket;out of stock;red;99.99;
itm444in;Media > DVDs & Movies;new;Documentary;in stock;white;9.99;
med555ww;Media > Music;used;Rock;pre-order;orange;39.99;
itm222us;Home > Electronics;new;Microwave;in stock;red;29.99;
kid889in;Home > Appliances;refurbished;Frying Pans;in stock;violet;25.99;
dvd234us;Apparel & Accessories > Clothing ;refurbished;Jacket;in stock;blue;129.99;
elc124sm;Apparel & Accessories > Clothing ;new;Dress;out of stock;magenta;29.99;
klm123ww;Apparel & Accessories > Clothing ;new;Jacket;pre-order;black;130.99;
klm234uk;Miscellaneous;new;Sunglasses;in stock;blue;100.5;
misc101co;Home > Appliances;new;Rice cooker;out of stock;yellow;19.99;
inr555uk;Miscellaneous;used;Sunglasses;pre-order;violet;129.99;
inr666in;Apparel & Accessories > Clothing ;refurbished;Jeans;in stock;blue;49.99;
mvs342uk;Apparel & Accessories > Clothing ;used;T-Shirt;in stock;orange;59.99;
acc124us;Miscellaneous;refurbished;Table;in stock;blue;89.99;
inr342ww;Home > Electronics;refurbished;TV;out of stock;black;39.99;
wmn555ww;Media > Music;refurbished;Rock;out of stock;green;29.99;
inr345us;Home > Appliances;used;Ice maker;pre-order;green;19.99;
dvd101uk;Home > Appliances;refurbished;Juice Mixer;pre-order;magenta;102.25;
bks666co;Media > DVDs & Movies;used;Science Fiction;pre-order;yellow;19.99;
dvd333bg;Apparel & Accessories > Shoes;refurbished;Flats;in stock;black;105.99;
inr456co;Apparel & Accessories > Shoes;new;Sandals;in stock;violet;79.99;
itm678ww;Apparel & Accessories > Shoes;used;Running;pre-order;violet;29.99;
xyz889us;Media > Music;used;Hip Hop;out of stock;white;35.99;
misc555ch;Home > Electronics;new;HDMI;in stock;green;59.99;
klm777ch;Apparel & Accessories > Shoes;refurbished;Boots;pre-order;magenta;130.99;
klm889rs;Miscellaneous;used;Chair;in stock;blue;99.99;
bks666pt;Home > Electronics;new;TV;in stock;magenta;59.99;
klm889rs;Apparel & Accessories > Shoes;used;Sandals;in stock;orange;59.99;
sho666sm;Apparel & Accessories > Shoes;new;Sneakers;in stock;yellow;69.99;
elc345bg;Home > Appliances;used;Rice cooker;pre-order;orange;89.99;
mgz678ww;Media > DVDs & Movies;new;Action;out of stock;white;99.99;
cdh666in;Apparel & Accessories > Shoes;refurbished;Boots;in stock;orange;105.99;
klm888rs;Apparel & Accessories > Clothing ;new;T-Shirt;in stock;white;101.99;
misc222sm;Miscellaneous;used;Table;in stock;blue;9.99;
clo889bg;Apparel & Accessories > Shoes;new;Sandals;pre-order;orange;19.99;
kid555uk;Home > Electronics;used;Remote;in stock;white;59.99;
inr101ch;Apparel & Accessories > Clothing ;refurbished;Jeans;out of stock;magenta;99.99;
sho101uk;Media > DVDs & Movies;refurbished;Comedy;in stock;magenta;102.25;
itm888sm;Apparel & Accessories > Clothing ;new;Shirt;in stock;blue;69.99;
xyz342bg;Media > Music;new;Rock;pre-order;red;39.99;
mns567pt;Media > Music;new;Country;in stock;violet;59.99;
mgz555in;Media > DVDs & Movies;used;Science Fiction;in stock;blue;79.99;
med678pt;Apparel & Accessories > Shoes;new;Sneakers;out of stock;magenta;29.99;
elc111us;Media > DVDs & Movies;new;Science Fiction;out of stock;black;49.99;
itm678rs;Miscellaneous;used;Sunglasses;pre-order;violet;149.99;
kid999bg;Apparel & Accessories > Shoes;refurbished;Sneakers;in stock;orange;35.99;
sho444ch;Apparel & Accessories > Shoes;used;Boots;out of stock;orange;79.99;
mvs888pt;Miscellaneous;new;Phone;out of stock;black;79.99;
med777ww;Apparel & Accessories > Clothing ;new;Dress;pre-order;white;9.99;
abc567ch;Media > DVDs & Movies;refurbished;Science Fiction;out of stock;green;79.99;
abc456in;Home > Electronics;refurbished;Remote;in stock;yellow;105.99;
abc456sm;Apparel & Accessories > Shoes;refurbished;Running;pre-order;red;29.99;
cdh999in;Media > Music;used;Country;in stock;orange;19.99;
acc789pt;Apparel & Accessories > Clothing ;used;Dress;in stock;blue;102.25;
cdh678pt;Home > Appliances;refurbished;Coffee maker;in stock;violet;9.99;
sho777co;Miscellaneous;new;Chair;pre-order;red;25.99;
elc889uk;Home > Electronics;used;HDMI;in stock;orange;149.99;
dvd333rs;Home > Appliances;new;Juice Mixer;out of stock;orange;105.99;
jpu666ww;Media > Music;refurbished;Hip Hop;in stock;magenta;105.99;
mvs888uk;Media > Music;used;Hip Hop;out of stock;green;99.99;
xyz234in;Home > Electronics;new;HDMI;out of stock;blue;129.99;
wmn101co;Media > DVDs & Movies;used;Documentary;pre-order;blue;89.99;
bks567sm;Home > Electronics;refurbished;Streaming Device;out of stock;magenta;79.99;
bks888sm;Apparel & Accessories > Shoes;refurbished;Sandals;in stock;white;29.99;
bks101bg;Media > DVDs & Movies;new;Documentary;in stock;red;105.99;
misc888bg;Miscellaneous;refurbished;Table;pre-order;red;25.99;
cdh333co;Media > DVDs & Movies;used;Animation;out of stock;green;49.99;
acc444ch;Media > DVDs & Movies;new;Comedy;in stock;blue;24.99;
clo789co;Media > DVDs & Movies;refurbished;Action;in stock;blue;59.99;
klm342pt;Apparel & Accessories > Clothing ;used;Dress;in stock;white;130.99;
klm123pt;Media > DVDs & Movies;new;Animation;in stock;violet;25.99;
mvs889ch;Media > Music;used;Rock;out of stock;magenta;129.99;
sho101uk;Home > Appliances;refurbished;Coffee maker;out of stock;violet;39.99;
mns456uk;Media > Music;used;Pop;pre-order;blue;29.99;
misc567pt;Apparel & Accessories > Shoes;used;Sandals;pre-order;white;29.99;
dvd333pt;Apparel & Accessories > Shoes;refurbished;Running;in stock;orange;9.99;
clo222pt;Home > Electronics;new;Microwave;out of stock;violet;105.99;
inr345co;Apparel & Accessories > Clothing ;new;Shirt;in stock;magenta;100.5;
elc777pt;Miscellaneous;new;Phone;in stock;violet;100.5;
itm111bg;Home > Appliances;refurbished;Coffee maker;pre-order;magenta;29.99;
abc444co;Miscellaneous;refurbished;Table;pre-order;green;29.99;
kid777in;Home > Electronics;new;Dell Laptop;pre-order;blue;925.99;
klm222in;Media > DVDs & Movies;used;Science Fiction;pre-order;magenta;102.25;
med456ww;Media > DVDs & Movies;refurbished;Animation;out of stock;orange;24.99;
klm789us;Media > Music;used;Jazz;in stock;magenta;69.99;
mvs222sm;Apparel & Accessories > Shoes;used;Flats;pre-order;black;24.99;
mns999co;Home > Electronics;used;Remote;out of stock;violet;129.99;
bks342co;Miscellaneous;refurbished;Table;out of stock;magenta;105.99;
dvd124pt;Home > Appliances;new;Juice Mixer;out of stock;magenta;130.99;
mvs678ch;Miscellaneous;refurbished;Chair;in stock;blue;130.99;
mgz888sm;Media > Music;new;Rock;in stock;orange;79.99;
mgz101ch;Apparel & Accessories > Clothing ;new;Jeans;pre-order;yellow;59.99;
inr999uk;Media > DVDs & Movies;used;Documentary;in stock;black;105.99;
bks123ww;Media > DVDs & Movies;used;Action;out of stock;orange;25.99;
wmn234pt;Miscellaneous;new;Chair;pre-order;red;79.99;
wmn222us;Apparel & Accessories > Clothing ;new;T-Shirt;in stock;orange;59.99;
mvs123ww;Miscellaneous;refurbished;Chair;out of stock;orange;100.5;
sho555co;Media > DVDs & Movies;new;Action;in stock;green;19.99;
mns333in;Home > Appliances;refurbished;Ice maker;in stock;blue;149.99;
jpu111rs;Apparel & Accessories > Shoes;used;Sneakers;in stock;white;79.99;
med345ww;Media > Music;new;Country;out of stock;orange;39.99;
misc678sm;Media > DVDs & Movies;new;Action;out of stock;orange;89.99;
med777ww;Media > DVDs & Movies;refurbished;Action;pre-order;yellow;9.99;
kid666sm;Apparel & Accessories > Shoes;new;Flats;out of stock;violet;59.99;
wmn789uk;Media > DVDs & Movies;used;Animation;in stock;black;24.99;
elc567co;Apparel & Accessories > Clothing ;refurbished;Shirt;in stock;blue;89.99;
sho888pt;Media > DVDs & Movies;used;Comedy;out of stock;blue;79.99;
abc999co;Apparel & Accessories > Shoes;refurbished;Sandals;pre-order;red;99.99;
cdh345ww;Miscellaneous;new;Chair;in stock;black;79.99;
bks666uk;Home > Electronics;new;Streaming Device;in stock;white;39.99;
misc342rs;Media > DVDs & Movies;used;Grand Canyon Documentary;in stock;orange;325.99;
bks333bg;Media > Music;refurbished;Jazz;in stock;violet;19.99;
mns333in;Miscellaneous;refurbished;Phone;pre-order;black;9.99;
mns888in;Apparel & Accessories > Shoes;refurbished;Flats;pre-order;red;99.99;
cdh678ww;Miscellaneous;refurbished;Phone;in stock;yellow;299.99;
elc101in;Home > Appliances;used;Ice maker;out of stock;violet;130.99;
jpu444us;Apparel & Accessories > Shoes;used;Flats;out of stock;violet;35.99;
acc777rs;Media > DVDs & Movies;used;Science Fiction;in stock;white;149.99;
itm555in;Miscellaneous;new;Phone;in stock;magenta;9.99;
inr888bg;Media > Music;new;Country;pre-order;red;102.25;
dvd124uk;Home > Appliances;used;Coffee maker;out of stock;blue;9.99;
acc124us;Home > Electronics;new;TV;in stock;blue;105.99;
mgz234bg;Home > Electronics;new;Remote;out of stock;violet;129.99;
acc101bg;Home > Appliances;new;Frying Pans;in stock;black;129.99;
cdh444co;Media > Music;refurbished;Jazz;in stock;blue;59.99;
mns666co;Apparel & Accessories > Shoes;refurbished;Flats;in stock;violet;130.99;
kid342rs;Media > Music;refurbished;Pop;out of stock;green;101.99;
med222rs;Apparel & Accessories > Clothing ;new;T-Shirt;out of stock;red;29.99;
kid234us;Apparel & Accessories > Clothing ;used;Jeans;out of stock;white;99.99;
dvd234ch;Miscellaneous;refurbished;Table;in stock;orange;100.5;
inr456ww;Miscellaneous;refurbished;Sunglasses;in stock;white;35.99;
mgz333sm;Media > DVDs & Movies;refurbished;Action;in stock;yellow;49.99;
mns342pt;Home > Appliances;new;Frying Pans;in stock;yellow;35.99;
acc222co;Media > DVDs & Movies;new;Comedy;in stock;green;79.99;
mns678co;Home > Appliances;refurbished;Ice maker;in stock;black;35.99;
cdh888ww;Miscellaneous;refurbished;iPhone 4;out of stock;red;1.99;
acc342in;Home > Appliances;new;Coffee maker;out of stock;orange;149.99;
cdh345pt;Home > Appliances;used;Ice maker;in stock;orange;2.99;
mgz222ww;Home > Appliances;refurbished;Rice cooker;out of stock;green;19.99;
sho567us;Media > DVDs & Movies;used;Science Fiction;in stock;violet;69.99;
bks222uk;Media > DVDs & Movies;new;Science Fiction;pre-order;blue;130.99;
mgz342bg;Miscellaneous;refurbished;Tablet;out of stock;magenta;89.99;
elc234ww;Media > Music;new;Country;pre-order;yellow;29.99;
klm789co;Media > Music;used;Rock;in stock;yellow;24.99;
dvd123uk;Miscellaneous;new;Chair;out of stock;violet;24.99;
dvd999bg;Miscellaneous;used;Phone;out of stock;yellow;100.5;
bks678ww;Home > Electronics;new;Microwave;in stock;violet;19.99;
bks101ch;Media > Music;used;Country;out of stock;violet;24.99;
xyz333in;Home > Appliances;used;Coffee maker;in stock;black;39.99;
clo666rs;Media > Music;refurbished;Rock;in stock;orange;29.99;
inr567rs;Media > Music;used;Country;pre-order;green;129.99;
cdh222ww;Home > Appliances;refurbished;Rice cooker;in stock;orange;24.99;
sho456pt;Media > Music;refurbished;Country;in stock;magenta;101.99;
med999sm;Miscellaneous;new;Table;out of stock;green;79.99;
bks456uk;Apparel & Accessories > Clothing ;refurbished;Jeans;out of stock;blue;129.99;
wmn101co;Miscellaneous;new;Phone;out of stock;white;9.99;
misc666bg;Apparel & Accessories > Shoes;new;Flats;out of stock;violet;129.99;
mvs342co;Apparel & Accessories > Clothing ;refurbished;Jacket;pre-order;blue;130.99;
misc124co;Media > Music;new;Country;out of stock;blue;130.99;
misc666in;Apparel & Accessories > Shoes;used;Boots;pre-order;magenta;149.99;
cdh666rs;Miscellaneous;refurbished;Tablet;pre-order;blue;101.99;
bks555rs;Home > Appliances;refurbished;Rice cooker;pre-order;blue;69.99;
sho222co;Home > Appliances;new;Ice maker;pre-order;blue;149.99;
klm555in;Apparel & Accessories > Clothing ;new;Jacket;in stock;blue;39.99;
cdh342uk;Apparel & Accessories > Shoes;refurbished;Sandals;in stock;red;69.99;
wmn345bg;Media > DVDs & Movies;used;Science Fiction;in stock;green;99.99;
abc889ww;Home > Appliances;new;Ice maker;in stock;blue;99.99;
mgz567ww;Media > Music;used;Hip Hop;out of stock;yellow;100.5;
xyz567in;Apparel & Accessories > Shoes;used;Flats;pre-order;red;39.99;
mvs888bg;Apparel & Accessories > Shoes;refurbished;Sneakers;pre-order;violet;89.99;
mns666ww;Miscellaneous;new;Tablet;pre-order;green;149.99;
xyz124sm;Home > Appliances;used;Ice maker;out of stock;blue;101.99;
cdh567bg;Media > Music;new;Jazz;pre-order;blue;102.25;
misc567pt;Miscellaneous;new;Phone;out of stock;red;101.99;
inr456co;Media > Music;refurbished;Rock;out of stock;magenta;130.99;
jpu555ch;Miscellaneous;used;Phone;out of stock;blue;99.99;
mvs889bg;Apparel & Accessories > Shoes;used;Flats;pre-order;red;59.99;
inr777uk;Apparel & Accessories > Shoes;new;Flats;in stock;green;49.99;
cdh333in;Miscellaneous;used;Chair;in stock;black;39.99;
mvs342rs;Home > Electronics;new;Remote;pre-order;yellow;59.99;
xyz333pt;Home > Appliances;refurbished;Juice Mixer;out of stock;black;39.99;
sho666ch;Media > Music;refurbished;Rock;out of stock;magenta;149.99;
elc124ww;Media > Music;new;Country;pre-order;black;100.5;
inr101ww;Media > Music;refurbished;Pop;pre-order;yellow;25.99;
dvd889ch;Apparel & Accessories > Clothing ;refurbished;T-Shirt;out of stock;green;25.99;
dvd456us;Home > Appliances;refurbished;Juice Mixer;pre-order;violet;29.99;
cdh555rs;Home > Electronics;new;Streaming Device;in stock;magenta;35.99;
jpu889in;Apparel & Accessories > Clothing ;used;Shirt;pre-order;blue;99.99;
inr789uk;Apparel & Accessories > Clothing ;used;Jeans;pre-order;magenta;100.5;
klm124bg;Apparel & Accessories > Clothing ;new;Jeans;pre-order;violet;69.99;
mgz124ww;Media > DVDs & Movies;refurbished;Comedy;in stock;white;99.99;
mns222bg;Home > Appliances;new;Juice Mixer;out of stock;orange;9.99;
clo345us;Media > DVDs & Movies;refurbished;Animation;in stock;yellow;35.99;
bks111ww;Apparel & Accessories > Shoes;new;Sandals;out of stock;red;79.99;
bks889sm;Media > Music;refurbished;Rock;pre-order;blue;130.99;
elc124sm;Home > Appliances;refurbished;Frying Pans;in stock;magenta;69.99;
cdh345ch;Home > Appliances;refurbished;Ice maker;in stock;red;19.99;
clo678bg;Apparel & Accessories > Shoes;new;Boots;out of stock;red;129.99;
mvs101bg;Miscellaneous;new;Sunglasses;out of stock;green;105.99;
mvs777sm;Media > DVDs & Movies;refurbished;Animation;in stock;white;129.99;
sho666us;Apparel & Accessories > Shoes;new;Sandals;in stock;yellow;99.99;
sho678uk;Apparel & Accessories > Clothing ;used;Shirt;out of stock;blue;35.99;
mvs234us;Media > DVDs & Movies;new;Animation;in stock;red;39.99;
xyz555ww;Media > Music;used;Hip Hop;pre-order;orange;79.99;
mns666uk;Miscellaneous;new;Tablet;in stock;green;149.99;
itm889sm;Apparel & Accessories > Clothing ;new;Jeans;in stock;violet;49.99;
cdh444ch;Home > Electronics;new;Remote;in stock;white;35.99;
med345sm;Miscellaneous;refurbished;Tablet;out of stock;magenta;101.99;
dvd777rs;Apparel & Accessories > Clothing ;new;Jeans;pre-order;white;59.99;
med678us;Apparel & Accessories > Shoes;new;Running;in stock;red;25.99;
elc124co;Home > Electronics;refurbished;Microwave;pre-order;white;59.99;
mgz124pt;Home > Electronics;refurbished;Streaming Device;out of stock;green;49.99;
clo678co;Miscellaneous;new;Tablet;out of stock;orange;89.99;
xyz666bg;Media > Music;new;Pop;in stock;orange;79.99;
dvd345pt;Media > Music;refurbished;Country;pre-order;red;105.99;
clo889uk;Apparel & Accessories > Clothing ;new;Jacket;out of stock;white;69.99;
dvd101bg;Media > DVDs & Movies;used;Documentary;in stock;orange;9.99;
bks101in;Home > Appliances;used;Rice cooker;in stock;red;19.99;
mgz111ww;Home > Appliances;new;Coffee maker;in stock;orange;39.99;
elc555us;Media > DVDs & Movies;refurbished;Comedy;in stock;white;100.5;
klm345rs;Miscellaneous;new;Chair;in stock;magenta;9.99;
misc342us;Media > Music;new;Pop;in stock;red;35.99;
acc342in;Home > Appliances;refurbished;Coffee maker;in stock;red;39.99;
klm124sm;Apparel & Accessories > Shoes;used;Flats;out of stock;violet;99.99;
abc101bg;Media > DVDs & Movies;used;Science Fiction;in stock;green;9.99;
kid888co;Apparel & Accessories > Clothing ;refurbished;Jeans;pre-order;red;99.99;
mgz789uk;Home > Electronics;refurbished;Remote;out of stock;blue;9.99;
mvs555sm;Media > DVDs & Movies;new;Comedy;in stock;orange;130.99;
dvd333ww;Media > Music;new;Pop;pre-order;green;29.99;
klm345co;Home > Electronics;new;Microwave;in stock;orange;29.99;
mgz789sm;Miscellaneous;refurbished;Table;in stock;orange;105.99;
mns888in;Apparel & Accessories > Shoes;refurbished;Sandals;pre-order;white;149.99;
inr789sm;Home > Electronics;new;TV;pre-order;yellow;102.25;
jpu777uk;Apparel & Accessories > Clothing ;new;Jacket;in stock;green;59.99;
clo444ww;Miscellaneous;new;Phone;out of stock;white;35.99;
jpu345pt;Home > Electronics;refurbished;HDMI;in stock;black;100.5;
itm889pt;Apparel & Accessories > Shoes;used;Boots;in stock;green;130.99;
wmn123in;Media > DVDs & Movies;new;Documentary;in stock;magenta;102.25;
clo456pt;Media > DVDs & Movies;new;Comedy;out of stock;red;39.99;
klm888us;Miscellaneous;new;Phone;out of stock;green;49.99;
sho666uk;Media > Music;new;Hip Hop;out of stock;black;69.99;
sho342rs;Home > Electronics;refurbished;HDMI;in stock;red;149.99;
mns123ch;Media > DVDs & Movies;refurbished;Comedy;out of stock;white;25.99;
itm345sm;Media > DVDs & Movies;refurbished;Action;out of stock;magenta;102.25;
itm999us;Apparel & Accessories > Shoes;used;Boots;pre-order;orange;79.99;
xyz342co;Home > Electronics;used;Remote;pre-order;orange;69.99;
itm234ww;Apparel & Accessories > Clothing ;refurbished;T-Shirt;pre-order;red;25.99;
elc234sm;Media > Music;used;Pop;in stock;blue;99.99;
mns567us;Miscellaneous;new;Chair;in stock;blue;101.99;
wmn555sm;Home > Electronics;refurbished;TV;pre-order;magenta;9.99;
med777us;Home > Appliances;refurbished;Frying Pans;out of stock;black;105.99;
cdh101bg;Media > Music;new;Country;in stock;black;9.99;
itm123uk;Apparel & Accessories > Clothing ;refurbished;Dress;pre-order;white;79.99;
acc101uk;Apparel & Accessories > Clothing ;refurbished;Shirt;out of stock;violet;9.99;
mvs234ch;Media > DVDs & Movies;refurbished;Comedy;in stock;black;9.99;
inr333sm;Miscellaneous;used;Chair;in stock;magenta;100.5;
mns111ch;Media > Music;used;Country;in stock;black;101.99;
mgz333in;Home > Electronics;new;Remote;in stock;white;99.99;
mgz444sm;Home > Appliances;used;Frying Pans;out of stock;magenta;39.99;
acc345uk;Media > Music;used;Country;in stock;black;24.99;
bks345ww;Media > Music;new;Hip Hop;out of stock;white;24.99;
inr111sm;Miscellaneous;new;Sunglasses;out of stock;green;105.99;
misc666ww;Media > DVDs & Movies;refurbished;Action;out of stock;white;101.99;
clo222co;Media > Music;new;Hip Hop;pre-order;magenta;101.99;
cdh789rs;Home > Appliances;used;Coffee maker;in stock;yellow;149.99;
mns456pt;Media > Music;new;Jazz;in stock;white;49.99;
inr888pt;Media > Music;refurbished;Hip Hop;in stock;violet;89.99;
klm111ch;Apparel & Accessories > Clothing ;used;Dress;pre-order;yellow;19.99;
mgz444bg;Media > DVDs & Movies;new;Documentary;pre-order;blue;129.99;
itm342ch;Apparel & Accessories > Clothing ;new;Jacket;pre-order;black;130.99;
bks111co;Apparel & Accessories > Clothing ;new;T-Shirt;in stock;blue;100.5;
kid567in;Media > Music;new;Pop;in stock;yellow;105.99;
dvd889uk;Media > DVDs & Movies;refurbished;Action;pre-order;black;102.25;
med666sm;Home > Electronics;used;Streaming Device;out of stock;magenta;59.99;
dvd567ww;Media > DVDs & Movies;refurbished;Science Fiction;pre-order;blue;9.99;
sho222pt;Home > Electronics;new;Microwave;pre-order;red;19.99;
dvd777pt;Apparel & Accessories > Shoes;used;Sneakers;in stock;magenta;89.99;
mgz222sm;Home > Electronics;refurbished;Microwave;out of stock;magenta;39.99;
itm789co;Miscellaneous;refurbished;Table;out of stock;orange;9.99;
clo124in;Media > Music;new;Rock;in stock;white;24.99;
kid888in;Miscellaneous;refurbished;Phone;out of stock;white;149.99;
sho345in;Miscellaneous;used;Table;out of stock;violet;69.99;
cdh345pt;Apparel & Accessories > Clothing ;refurbished;Jeans;out of stock;white;101.99;
inr345ww;Apparel & Accessories > Clothing ;new;Dress;in stock;black;99.99;
xyz889us;Apparel & Accessories > Clothing ;new;Jacket;in stock;white;102.25;
misc889ww;Home > Appliances;new;Juice Mixer;in stock;blue;130.99;
bks101co;Media > Music;used;Rock;pre-order;magenta;24.99;
klm777in;Miscellaneous;new;Phone;in stock;yellow;69.99;
clo567in;Apparel & Accessories > Shoes;refurbished;Flats;out of stock;green;89.99;
med101in;Apparel & Accessories > Shoes;new;Sneakers;pre-order;violet;79.99;
sho889rs;Media > Music;used;Rock;pre-order;black;29.99;
elc222in;Home > Electronics;new;HDMI;out of stock;black;9.99;
med999rs;Home > Electronics;new;Streaming Device;in stock;yellow;129.99;
xyz888us;Media > Music;used;Hip Hop;out of stock;red;59.99;
med333ww;Home > Appliances;new;Coffee maker;pre-order;orange;59.99;
jpu111uk;Home > Appliances;refurbished;Rice cooker;pre-order;green;19.99;
dvd555ch;Apparel & Accessories > Clothing ;used;Shirt;in stock;green;79.99;
mvs222uk;Apparel & Accessories > Clothing ;new;Dress;in stock;orange;9.99;
clo123us;Apparel & Accessories > Clothing ;used;Shirt;pre-order;blue;101.99;
itm889uk;Home > Appliances;used;Ice maker;pre-order;orange;101.99;
itm567pt;Media > Music;new;Jazz;in stock;magenta;129.99;
misc333pt;Media > DVDs & Movies;new;Animation;out of stock;magenta;29.99;
elc789uk;Miscellaneous;new;Table;in stock;violet;149.99;
mvs777ch;Home > Electronics;new;Microwave;in stock;magenta;19.99;
abc111us;Miscellaneous;used;Sunglasses;pre-order;blue;49.99;
mgz678uk;Home > Electronics;used;Microwave;pre-order;blue;35.99;
klm777co;Home > Electronics;refurbished;Remote;out of stock;red;89.99;
kid345us;Media > DVDs & Movies;new;Comedy;out of stock;magenta;59.99;
cdh456us;Apparel & Accessories > Shoes;new;Running;out of stock;blue;149.99;
