Run!	Fugi!
Tom doesn't like this.	Lui Tom nu-i place asta.
Tom faces a conundrum.	Tom se confruntă cu o dilemă.
Tom filed a complaint.	Tom a depus o plângere.
Tom gave a brief talk.	Tom a ținut un discurs scurt.
Tom graduated in 2013.	Tom a absolvit în 2013.
Tom had a hectic week.	Tom a avut o săptămână agitată.
Tom has a nice camera.	Tom are o cameră foto drăguță.
Tom has a poor memory.	Tom are o memorie slabă.
Tom is in a big hurry.	Tom se grăbește.
Tom is past his prime.	Tom a trecut de perioada lui de glorie.
Tom is quite prepared.	Tom este destul de pregătit.
Tom is too indecisive.	Tom e prea indecis.
Tom is very attentive.	Tom este foarte atent.
Tom is very impressed.	Tom este foarte impresionat.
Tom knows many things.	Tom știe multe lucruri.
Tom knows who Mary is.	Tom știe cine e Mary.
Tom looked very happy.	Tom arăta foarte fericit.
Tom looks happy today.	Tom arată fericit astăzi.
Tom may be downstairs.	Tom ar putea fi jos.
Tom misses his family.	Lui Tom îi lipsește familia.
Tom misses his family.	Lui Tom îi este dor de familie.
Tom sat by the window.	Tom a stat la fereastră.
Tom spoke prematurely.	Tom a vorbit prea devreme.
Tom took Mary dancing.	Tom a luat-o pe Mary la dans.
Tom would've been mad.	Tom ar fi fost furios.
Tom's hands were numb.	Mâinile lui Tom erau amorțite.
Watch from the window.	Privește de la fereastră.
We captured the thief.	Noi am prins hoțul.
We don't know exactly.	Nu știm exact.
We helped one another.	Ne-am ajutat unul pe altul.
We should do our best.	Ar trebui să facem tot ce putem.
We should work faster.	Trebuie să muncim mai repede.
We stood face to face.	Am stat față în față.
We're almost finished.	Aproape am terminat.
We're counting on you.	Ne bazăm pe tine.
We're quite confident.	Suntem destul de încrezători.
Were you on the train?	Erai în tren?
What Tom says is true.	Ceea ce spune Tom este adevărat.
What a beautiful city!	Ce oraș frumos!
What a beautiful name!	Ce nume frumos!
What a beautiful town!	Ce oraș frumos!
What a disappointment!	Ce dezamăgire!
What did you do there?	Ce făceai acolo?
What exactly was that?	Mai exact ce-a fost aia?
What grade are you in?	În ce clasă ești?
What is the emergency?	Care este urgența?
What you say is right.	Ceea ce spui este corect.
What's under your bed?	Ce e sub patul tău?
What's your full name?	Care e numele tău complet?
What's your last name?	Care este numele tău de familie?
When is your birthday?	Când este ziua ta?
When will you be free?	Când vei fi liber?
Where are the showers?	Unde sunt dușurile?
Where are you heading?	Unde te duci?
Where is the bathroom?	Unde este toaleta?
Where's your suitcase?	Unde este valiza ta?
Who am I talking with?	Cu cine vorbesc?
Who did you talk with?	Cu cine ai vorbit?
Who discovered radium?	Cine a descoperit radiu?
Who helps your mother?	Cine o ajută pe mama ta?
Who told you the news?	Cine ți-a dat vestea?
Who wrote these poems?	Cine a scris aceste poezii?
Who wrote this letter?	Cine a scris această scrisoare?
Whose side are you on?	De ce parte ești?
Why do you suspect me?	De ce mă bănuiești pe mine?
Why don't you ask Tom?	De ce nu-l întrebi pe Tom?
Why don't you go home?	De ce nu mergi acasă?
Why is that a problem?	De ce asta este o problemă?
Will you stay at home?	Vei sta acasă?
Write me sometime, OK?	Mai scrie-mi din când în când, OK?
You are her daughters.	Sunteți fiicele ei.
You are off the point.	Ești pe lângă subiect.
You are strong-minded.	Ești hotărât.
You deserve the prize.	Meriți premiul.
You don't have to eat.	Nu trebuie să mănânci.
You may keep the book.	Poți păstra cartea.
You must do your best.	Trebuie să dai tot ce e mai bun din tine.
You must go to school.	Trebuie să mergi la școală.
You need to follow me.	Trebuie să mă urmezi.
You seemed interested.	Păreai interesat.
You will stay at home.	Vei sta acasă.
You're braver than me.	Ești mai curajos decât mine.
You're kidding, right?	Glumești, așa-i?
You're making me sick.	Mă faci să mă simt rău.
You're worse than Tom.	Ești mai rău decât Tom.
Your hair is too long.	Părul tău e prea lung.
Your method is better.	Metoda ta este mai bună.
A cat was on the table.	O pisică a fost pe masă.
A child needs a mother.	Un copil are nevoie de o mamă.
A promise is a promise.	O promisiune e o promisiune.
Call me this afternoon.	Sună-mă în după-amiaza asta.
Can I park my car here?	Pot să-mi parchez mașina aici?
Can we turn the TV off?	Putem să închidem televizorul?
Cats usually hate dogs.	Pisicile de obicei urăsc câinii.
Charge this bill to me.	Trece nota de plată în contul meu.
Come whenever you want.	Vino când vrei.
Could you show me that?	Poți să-mi arăți aia?
Did Tom arrive on time?	A ajuns Tom la timp?
Did Tom really do that?	Chiar a făcut Tom asta?
Did you break the lamp?	Ai stricat lampa?
Did you break the lamp?	Ai spart lampa?
Did you proofread this?	Ai corectat asta?
Did you watch the game?	Ai urmărit meciul?
Do you have a nickname?	Ai o poreclă?
Do you have the remote?	Ai telecomanda?
Do you know her father?	Îl știi pe tatăl dumneaei?
Don't be condescending.	Nu fi condescendent.
Don't be so suspicious.	Nu fiți atât de suspicioși.
Don't take any chances.	Nu-ți asuma riscuri.
Don't tell me you care.	Nu-mi spune că-ți pasă.
Don't waste ammunition.	Nu irosi muniția.
Don't waste ammunition.	Nu irosiți muniția.
Dry wood burns quickly.	Lemnul uscat arde rapid.
Every little bit helps.	Orice mic ajutor e bun.
Everyone knew the song.	Toți știau cântecul.
Everyone knows the law.	Toți știu legea.
Give me a little money.	Dă-mi câțiva bani.
He accepted my present.	El a acceptat cadoul meu.
He acted like a madman.	El a acționat ca un lunatic.
He asked for my advice.	El mi-a cerut sfatul.
He asked her questions.	I-a pus întrebări.
He didn't get the joke.	Nu s-a prins de poantă.
He didn't stop talking.	Nu se oprea din vorbit.
He gives me the creeps.	El îmi dă fiori.
He is fluent in French.	El e fluent în franceză.
He loved her very much.	El a iubit-o foarte mult.
He never said it again.	El nu a mai spus-o niciodată.
He quit without notice.	El a renunțat fără niciun anunț.
He understands physics.	Înţelege fizica.
He went over the house.	El s-a dus acasă.
He won the race easily.	El a câștigat cursa ușor.
He's not young anymore.	El nu mai este tânăr.
He's thoroughly honest.	El este foarte cinstit.
His idea wasn't usable.	Ideea lui nu era propice.
How are you these days?	Cum te simți zilele astea?
How big is Tom's house?	Cât de mare e casa lui Tom?
How fast can you do it?	Cât de repede poți să o faci?
How much is it per box?	Cât costă pe cutie?
How much is this dress?	Cât costă rochia aceasta?
I agree to go with him.	Sunt de acord să merg cu el.
I always keep promises.	Mă țin întotdeauna de promisiune.
I can't drink any more.	Nu mai pot bea.
I can't hear very well.	Nu aud foarte bine.
I can't judge distance.	Nu pot aprecia distanța.
I cried all night long.	Am plâns întreaga noapte.
I didn't know anything.	N-am știut nimic.
I didn't talk about it.	Nu am vorbit despre asta.
I don't know this song.	Nu știu acest cântec.
I don't like shellfish.	Nu-mi plac crustaceele.
I don't like the taste.	Nu-mi place gustul.
I don't need your help.	N-am nevoie de ajutorul tău.
I found the room empty.	Am găsit camera goală.
I got there before Tom.	Am ajuns acolo înaintea lui Tom.
I had an asthma attack.	Am avut o criză de astm.
I have heard the story.	Am auzit povestea.
I have nothing to lose.	Nu am nimic de pierdut.
I have to do that soon.	Trebuie să fac asta în curând.
I have to go to school.	Trebuie să merg la școală.
I haven't the foggiest.	N-am nici cea mai mică idee.
I know how to fix that.	Știu cum să repar asta.
I know the whole story.	Știu întreaga poveste.
I make 100 euros a day.	Câștig 100 de euro pe zi.
I make lunch every day.	Prepar prânzul în fiecare zi.
I need to go into town.	Trebuie să mă duc în oraș.
I need to speak to Tom.	Trebuie să vorbesc cu Tom.
I speak for all people.	Vorbesc pentru toți oamenii.
I suppose you like her.	Presupun că-ți place de ea.
I thought Tom was lost.	Am crezut că Tom s-a pierdut.
I thought Tom was nice.	Am crezut că Tom era bun.
I thought Tom was slow.	Credeam că Tom era lent.
I thought he was there.	Am crezut că el a fost acolo.
I want to be respected.	Vreau să fiu respectat.
I want to leave school.	Vreau să părăsesc școala.
I want to see a doctor.	Vreau să merg la un doctor.
I want to write a book.	Vreau să scriu o carte.
I wanted you to see it.	Doream să o vezi și tu.
I warned you about Tom.	Te-am avertizat în legătură cu Tom.
I was in the mountains.	Am fost în munți.
I was ready to do that.	Eram gata să fac asta.
I went down the stairs.	Am coborât scările.
I went to the hospital.	Eu am mers la spital.
I wholeheartedly agree.	Sunt de acord, cu toată inima.
I will gladly help you.	Cu bucurie te voi ajuta.
I worked alongside Tom.	Am lucrat alături de Tom.
I would like some fish.	Aș vrea niște pește.
I'd like a double room.	Aș dori o cameră cu două paturi.
I'd like to see my son.	Aş dori să-mi văd fiul.
I'll call Tom tomorrow.	Îl voi suna pe Tom mâine.
I'll cut your head off!	O să-ți tai capul!
I'll miss your cooking.	Îmi vor lipsi mâncărurile făcute de tine.
I'll never deceive you.	Nu te voi înșela niciodată.
I'm bored with my life.	Sunt plictisit cu viața mea.
I'm bored with my life.	Sunt sătul de viața mea.
I'm busy with homework.	Sunt ocupat cu temele.
I'm having a nice time.	Mă distrez bine.
I'm listening to music.	Ascult muzică.
I'm not busy right now.	Nu sunt ocupat chiar acum.
I'm not busy right now.	Nu sunt ocupat în acest moment.
I'm pleased to see you.	Sunt bucuros să te văd.
I'm sick of this place.	M-am săturat de acest loc.
I'm trying to be happy.	Încerc să fiu fericit.
I'm wearing sunglasses.	Port ochelari de soare.
I've got tons of ideas.	Am o grămadă de idei.
Is it a recent picture?	Este o fotografie recentă?
Is it a recent picture?	Este asta o poză recentă?
Is that a bus or a car?	Ăsta e un autobuz sau o mașină?
Is this a recent photo?	Este asta o poză recentă?
It could be beneficial.	Ar putea fi benefică.
It could be beneficial.	Ar putea fi benefic.
It doesn't surprise me.	Nu mă surprinde.
It tastes like chicken.	Are gust de pui.
It was a job done well.	Era o treabă bine făcută.
It was a job done well.	A fost o treabă bine făcută.
It was kind of surreal.	Era un fel de suprarealism.
It was not an accident.	Nu a fost un accident.
It'll be a fun weekend.	Va fi un sfârșit de săptămână distractiv.
It's a family heirloom.	Este o moștenire de familie.
It's a hard, dirty job.	E o treabă grea şi murdară.
It's a plausible story.	Este o poveste plauzibilă.
It's a tremendous deal.	Asta este o afacere extraordinară.
It's awfully hot today.	Astăzi este foarte cald.
It's not a coincidence.	Nu este o coincidență.
Just follow your heart.	Urmează-ți inima.
Laughter is contagious.	Râsul este contagios.
Let me cut the carrots.	Lasă-mă să tai morcovii.
Let them do their jobs.	Lasă-i să facă ce au de făcut.
Let's go to your house.	Să mergem la tine acasă.
Let's speak in English.	Să vorbim în engleză.
Let's take a short cut.	Hai s-o luăm pe scurtătură.
Love is hard to define.	Dragostea este greu de definit.
Mind your own business!	Vezi-ți de treaba ta!
My father likes tennis.	Tatălui meu îi place tenisul.
No one can go in there.	Nimeni nu poate merge acolo.
No one could deny this.	Nimeni nu poate nega asta.
No one is invulnerable.	Nimeni nu este invulnerabil.
Now, this is a problem.	Acum, asta e o problemă.
Please add up the bill.	Te rog să calculezi totalul facturii.
Please buy that for me.	Te rog cumpără asta pentru mine.
Prices are competitive.	Prețurile sunt competitive.
Pull yourself together!	Adună-te!
She fell from the tree.	A căzut din copac.
She has a tender heart.	Ea are o inimă fragilă.
She has a tender heart.	Ea are o inimă bună.
She lost her new watch.	Ea și-a pierdut ceasul nou.
Should we go someplace?	Ar trebui să mergem undeva?
So, what's the problem?	Deci, care e problema?
Something's wrong here.	E ceva în neregulă aici.
Stop talking like that.	Încetează să mai vorbești așa.
Take your hands off me!	Ia-ți mâinile de pe mine.
Take your hands off me.	Ia-ți mâinile de pe mine.
Thank you for the lead.	Mulţumesc pentru instrucţiuni.
That was not necessary.	Asta nu a fost necesară.
That's a good approach.	Asta este o abordare bună.
That's my final answer.	Ăsta este răspunsul meu final.
That's what worries me.	Asta este ceea ce mă îngrijorează.
That's why they did it.	De asta au făcut-o.
The bus became crowded.	Autobuzul s-a aglomerat.
The food is tremendous.	Mâncarea este extraordinară.
The hole is big enough.	Gaura este îndeajuns de mare.
The meeting dragged on.	Întâlnirea s-a prelungit.
The middle one is mine.	Cea din mijloc este a mea.
The rain is letting up.	Ploaia se oprește.
The shoes are worn out.	Pantofii sunt uzați.
The sky has brightened.	Cerul s-a luminat.
The train was derailed.	Trenul a deraiat.
The water's cold today.	Apa este rece astăzi.
The weather turned bad.	Vremea s-a înrăutățit.
Their dreams came true.	Visurile lor s-au împlinit.
Their dreams came true.	Visurile lor s-au realizat.
There's a mistake here.	Este o greșeală aici.
These gloves are Tom's.	Aceste mănuși sunt ale lui Tom.
These gloves are Tom's.	Aceste mănuși îi aparțin lui Tom.
They are my classmates.	Ei sunt colegii mei.
They are very cheerful.	Sunt foarte veseli.
They made many changes.	Ei au făcut multe schimbări.
They made many charges.	Ei au făcut multe acuzații.
They say love is blind.	Ei spun că dragostea este oarbă.
They wanted protection.	Ei voiau protecție.
They wanted protection.	Ei vreau protecție.
They went to the beach.	Au plecat la plajă.
They were mostly women.	Erau majoritatea femei.
This is excellent wine.	Acesta e un vin excelent.
This is old news to me.	Asta este o știre veche pentru mine.
Those glasses suit you.	Acei ochelari ți se potrivesc.
Today is extremely hot.	Azi e foarte cald.
Tom can read very well.	Tom poate citi foarte bine.
Tom clenched his fists.	Tom și-a încleștat pumnul.
Tom didn't poison Mary.	Tom nu a otrăvit-o pe Mary.
Tom got a job teaching.	Tom a obținut o slujbă ca profesor.
Tom got an A in French.	Tom a primit un zece la franceză.
Tom had a panic attack.	Tom a avut un atac de panică.
Tom has a lot of money.	Tom are mulți bani.
Tom has a lot to learn.	Tom are multe de învățat.
Tom has achieved a lot.	Tom a reușit în multe.
Tom has gone to Boston.	Tom s-a dus la Boston.
Tom hates these things.	Tom detestă aceste lucruri.
Tom is an intellectual.	Tom este un intelectual.
Tom is an overachiever.	Tom este perfecționist.
Tom is good at cooking.	Tom este bun la gătit.
Tom is nicer than Mary.	Tom este mai drăguț decât Mary.
Tom leaned on his cane.	Tom s-a sprijinit în baston.
Tom missed class today.	Tom a lipsit de la școală astăzi.
Tom needs medical care.	Tom are nevoie de îngrijire medicală.
Tom said he was hungry.	Tom a spus că îi era foame.
Tom sharpened a pencil.	Tom a ascuțit un creion.
Tom shelled the shrimp.	Tom a curățat creveții de coajă.
Tom should do the same.	Tom ar trebui să facă la fel.
Tom should know better.	Tom ar trebui să știe mai bine.
Tom should leave early.	Tom ar trebui să plece devreme.
Tom soon followed suit.	Tom a urmat exemplul îndată.
Tom told me his secret.	Tom mi-a spus secretul lui.
Tom wanted it this way.	Tom a dorit asta să fie în felul acesta.
Tom wanted it this way.	Tom a dorit ca asta să fie așa.
Tom was treated fairly.	Tom a fost tratat corect.
Tom was working for me.	Tom lucra pentru mine.
Tom wasn't even trying.	Tom nici măcar nu încerca.
Turn toward me, please.	Întoarce-te înspre mine, te rog.
Unemployment is rising.	Șomajul este în creștere.
We consoled each other.	Ne-am consolat unul pe altul.
We met her by accident.	Am întâlnit-o din întâmplare.
We ran around the park.	Noi am alergat în jurul parcului.
We used up the shampoo.	Am terminat șamponul.
We were moved to tears.	Am fost impresionați până la lacrimi.
We're ready to do that.	Suntem gata să facem asta.
We've got to get going.	Trebuie să începem.
What an accomplishment!	Ce realizare!
What did you do before?	Ce făceai înainte?
What did you do before?	Cu ce te ocupai înainte?
What did you try to do?	Ce ai încercat să faci?
What do you believe in?	Tu în ce crezi?
What does your aunt do?	Ce face mătușa ta?
What does your aunt do?	Cu ce se ocupă mătușa ta?
What's asphalt made of?	Din ce este făcut asfaltul?
What's the alternative?	Care este alternativa?
What's the temperature?	Cât e temperatura?
What's your occupation?	Care este ocupația ta?
When do you leave here?	Când pleci de aici?
When will we get there?	Când ajungem?
Where's my grandfather?	Unde este bunicul meu?
Where's the phone book?	Unde e cartea de telefoane?
Which way is the beach?	Încotro e plaja?
Who did you speak with?	Cu cine ai vorbit?
Who discovered America?	Cine a descoperit America?
Who is behind the plot?	Cine e în spatele intrigii?
Who made you come here?	Cine te-a făcut să vii aici?
Who teaches you French?	Cine te învață franceză?
Who told you the story?	Cine ți-a spus povestea?
Why are you asking Tom?	De ce îl întrebi pe Tom?
Why aren't you dressed?	De ce nu te-ai îmbrăcat?
Why should I thank Tom?	De ce ar trebui să-i mulțumesc lui Tom?
Why should we help you?	De ce te-am ajuta?
Why would they do this?	De ce să facă asta?
Will you swim with Tom?	Vei înota cu Tom?
Would you like to come?	Ai vrea să vii?
Would you play with me?	Te-ai juca cu mine?
You are hearing things.	Tu auzi lucruri.
You are my best friend.	Ești cel mai bun prieten al meu.
You aren't even trying.	Tu nici măcar nu încerci.
You can read this book.	Tu poți să citești această carte.
You can take your time.	Poți să o iei încetișor.
You can use it anytime.	Îl poţi folosi oricând.
You can use it anytime.	O poţi folosi oricând.
You can use it anytime.	Îl puteţi folosi oricând.
You can use it anytime.	O puteţi folosi oricând.
You can't ride a horse.	Tu nu poți călări un cal.
You could have done it.	Ai fi putut să o faci.
You have to believe me.	Trebuie să mă crezi.
You made a wise choice.	Ai făcut o alegere înțeleaptă.
You may or may not win.	Poți câștiga sau e posibil să nu poți câștiga.
You must not do it now.	Trebuie să nu o faci acum.
You must start at once.	Trebuie să pornești imediat.
You ought to thank him.	Ar fi cazul să-i mulțumești.
You should know better.	Ar trebui să știi mai bine.
You took the wrong key.	Ai luat cheia greșită.
You were late for work.	Ai întârziat la muncă.
You will hurt yourself.	Te vei răni.
You'd better not speak.	Ar fi bine să nu vorbești.
You'd better start now.	Ai face bine să-ncepi acum.
You're making progress.	Faci progrese.
You're not fast enough.	Nu ești rapid îndeajuns.
You're such a cute boy.	Ești un băiat atât de drăguț.
You're the tallest one.	Tu ești cel mai înalt.
Your medicine is ready.	Pastila ta e gata.
Your medicine is ready.	Leacul tău e pregătit.
Your o's look like a's.	O-urile tale arată ca a-urile.
A war is an awful thing.	Războiul este un lucru groaznic.
Anyway, I don't like it.	În orice caz, nu-mi place.
Anyway, I don't like it.	Oricum, nu-mi place.
Apparently you're right.	Aparent, ai dreptate.
Are you afraid of death?	Ți-e frică de moarte?
Are you going someplace?	Te duci undeva?
Are you referring to me?	Te referi la mine?
Are you waiting for Tom?	Îl aștepți pe Tom?
Birthdays are important.	Zilele de naștere sunt importante.
Can I see the wine list?	Aș putea vedea meniul de vinuri?
Can't you speak English?	Nu vorbeşti engleza?
Can't you speak English?	Nu vorbiţi limba engleză?
Could I borrow a pencil?	Aș putea împrumuta un creion?
Could you get us coffee?	Ne puteți aduce cafea?
Did anyone say anything?	A zis cineva ceva?
Did you grade the tests?	Ai corectat lucrările?
Did you grade the tests?	Ai dat calificative testelor?
Did you proofread these?	Ai corectat astea?
Did you wash your hands?	Te-ai spălat pe mâini?
Did you write this book?	Tu ai scris această carte?
Discussions are ongoing.	Discuțiile sunt în curs de desfășurare.
Do I look like a farmer?	Arăt eu a fermier?
Do you have a boyfriend?	Ai un iubit?
Do you know who made it?	Știi cine l-a făcut?
Do you like this flower?	Îți place floarea aceasta?
Do you like this flower?	Îţi place floarea aceasta?
Do you want fruit juice?	Vrei suc de fructe?
Does this belong to you?	Asta îți aparține?
Does this belong to you?	Aceasta îți aparține?
Don't eat between meals.	Nu mânca între mese.
Don't let Tom read this.	Nu îi permiteți lui Tom să citească asta.
Don't make abrupt moves.	Nu face mișcări bruște.
Don't make abrupt moves.	Nu faceți mișcări bruște.
Don't sit on that bench.	Nu te așeza pe banca aceea.
Don't touch my sandwich.	Nu-mi atinge sandvișul.
Don't touch that button!	Nu atinge acel buton!
Don't use this bathroom.	Nu folosi baia aceasta.
Don't you like baseball?	Nu-ți place baseballul?
Eat a lot of vegetables.	Mănâncă multe legume.
Either Tom goes or I go.	Ori merge Tom, ori eu.
Either Tom or I must go.	Ori Tom, ori eu trebuie să plec.
Enrollment will be free.	Înscrierea va fi gratuită.
Everything is all right.	Totul este în regulă.
Has anyone asked for me?	A cerut cineva să mă vadă?
Has anyone asked for me?	A întrebat cineva de mine?
Have you met each other?	V-ați întâlnit unul cu celălalt?
He acted like a lunatic.	El a acționat ca un lunatic.
He doesn't like oranges.	Lui nu-i plac portocalele.
He got lost in the city.	El s-a pierdut în oraș.
He got through his work.	El și-a terminat treaba.
He happened to be there.	S-a întâmplat să fie acolo.
He has bought a new car.	El a cumpărat o mașină nouă.
He is afraid of the dog.	Lui îi e frică de câine.
He is just killing time.	El își omoară vremea.
He is out of the office.	El e în afara biroului.
He isn't lonely anymore.	El nu se mai simte singur.
He plays the piano well.	El cântă bine la pian.
He promised not to tell.	A promis să nu spună.
He slowly moved forward.	Încet s-a mișcat mai în față.
He sometimes loses hope.	El câteodată își pierde speranța.
He tends to be arrogant.	Tinde să fie arogant.
He was somewhat excited.	Era oarecum încântat.
He works for his living.	El muncește ca să se întrețină.
He zipped up his jacket.	El și-a tras fermoarul la geacă.
His handwriting is poor.	Scrisul lui de mână e nasol.
His story made us laugh.	Povestea lui ne-a făcut să râdem.
How did that all happen?	Cum s-au întâmplat toate acestea?
I appreciate the effort.	Apreciez efortul.
I can tell you love Tom.	Pot spune că-l iubești pe Tom.
I can't live without TV.	Nu pot trăi fără televizor.
I can’t do any better.	Nu pot face mai bine de atât.
I didn't do that either.	Nu am făcut nici asta.
I didn't drink the milk.	Nu am băut laptele.
I don't live in Finland.	Nu locuiesc în Finlanda.
I don't want it anymore.	Nu-l mai vreau.
I doubt if he will come.	Mă îndoiesc că va veni.
I doubt if he will come.	Am dubii că va veni.
I had a very high fever.	Am avut o febră foarte mare.
I have lost my umbrella.	Mi-am pierdut umbrela.
I have to iron my shirt.	Trebuie să îmi calc cămașa.
I have to sell my house.	Eu trebuie să-mi vând casa.
I haven't yet been paid.	Nu am fost plătit încă.
I heard him sing a song.	L-am auzit cântând un cântec.
I heard someone whistle.	Am auzit pe cineva fluierând.
I hope Tom isn't biased.	Sper că Tom nu are vreo prejudecată.
I hope that I can do it.	Sper să pot face asta.
I just want you to come.	Vreau doar ca tu să vii.
I know that I was wrong.	Știu că am greșit.
I like to work with Tom.	Îmi place să lucrez cu Tom.
I like trains very much.	Îmi plac trenurile foarte mult.
I live in a remote area.	Locuiesc într-o zonă îndepărtată.
I love studying history.	Iubesc studiul istoriei.
I met with an old woman.	M-am întâlnit cu o femeie în vârstă.
I must go to the toilet.	Am nevoie la toaletă.
I often play volleyball.	Joc volei des.
I paid about 50 dollars.	Am plătit aproape 50 de dolari.
I play volleyball often.	Joc volei des.
I refrain from drinking.	Mă abțin de la băutură.
I studied it thoroughly.	Am studiat-o cu atenție.
I studied it thoroughly.	L-am studiat cu atenție.
I suppose you are right.	Presupun că ai dreptate.
I swim almost every day.	Înot aproape în fiecare zi.
I tend to procrastinate.	Am tendința de a amâna.
I think I have a cavity.	Cred că am o carie.
I think I'm going crazy.	Cred că o să înnebunesc.
I think Tom is unbiased.	Cred că Tom este imparțial.
I think his name is Tom.	Cred că numele lui este Tom.
I want him in my office.	Îl vrea în biroul meu.
I want something to eat.	Vreau să mănânc ceva.
I want to be an actress.	Vreau să fiu actriță.
I want to charter a bus.	Vreau să închiriez un autobuz.
I want to do it tonight.	Vreau să o fac în seara asta.
I want to eat something.	Vreau să mănânc ceva.
I want to live in Italy.	Vreau să trăiesc în Italia.
I wanted to read a book.	Voiam să citesc o carte.
I was born 20 years ago.	M-am născut acum 20 de ani.
I was worried about you.	Mi-am făcut griji pentru tine.
I'd like to play tennis.	Mi-ar plăcea să joc tenis.
I'd love to go with you.	Mi-ar plăcea să merg cu tine.
I'll come to your place.	Voi veni la tine.
I'll lend you this book.	Îți voi împrumuta cartea asta.
I'll see you next month.	Te voi vedea luna ce vine.
I'll stay at home today.	Voi rămâne acasă astăzi.
I'll write Tom a letter.	Îi voi scrie o scrisoare lui Tom.
I'm always under stress.	Sunt în permanență sub stres.
I'm an American citizen.	Sunt cetăţean american.
I'm as hungry as a bear.	Mi-e o foame de urs.
I'm at a loss for words.	Am rămas fără cuvinte.
I'm dripping with sweat.	Mă trec sudorile.
I'm making some changes.	Fac niște schimbări.
I'm not afraid of death.	Nu-mi e frică de moarte.
I'm not home on Sundays.	Nu sunt acasă în zilele de duminică.
I'm not home on Sundays.	Nu sunt acasă duminicile.
I'm not sure about this.	Nu sunt sigur despre asta.
I'm sure you'll succeed.	Sunt sigur că vei reuși.
I'm tired of this place.	M-am săturat de acest loc.
I've got to say goodbye.	Trebuie să spun la revedere.
I've met him many times.	L-am întâlnit de multe ori.
I've seen you someplace.	Te-am văzut undeva.
It has become very cold.	S-a făcut foarte rece.
It is restful, isn't it?	E odihnitor, nu-i aşa?
It may freeze next week.	Ar putea îngheța săptămâna viitoare.
It may freeze next week.	Ar putea fi îngheț săptămâna viitoare.
It needs to be repaired.	E nevoie să fie reparat.
It rained day after day.	A plouat zi după zi.
It wasn't an aberration.	Nu era o aberație.
It's a difficult matter.	E o treabă dificilă.
It's going to be OK now.	Totul va fi bine acum.
It's really hot in here.	Este foarte cald aici.
It's very hot, isn't it?	Este foarte cald, nu-i aşa?
Kyoto is worth visiting.	Kyoto merită vizitat.
Leave the room as it is.	Lasă camera aşa cum e.
Let's go someplace else.	Hai să mergem altundeva.
Let's make a big circle.	Hai să facem un cerc mare.
Let's talk about safety.	Să vorbim despre siguranță.
May I use your car, Dad?	Îţi pot folosi maşina, tată?
Maybe that'll be enough.	Poate că asta va fi îndeajuns.
My arm is hurting badly.	Mă doare braţul rău.
My book is on your desk.	Cartea mea e pe biroul tău.
My cellphone is ringing.	Telefonul meu sună.
My father has been busy.	Tatăl meu a fost ocupat.
My major is agriculture.	Specializarea mea este agricultura.
Never speak to me again.	Să nu-mi mai vorbești.
No one came except Mary.	Nimeni nu a venit cu excepția lu Mary.
No one knows the answer.	Nimeni nu știe răspunsul.
No one voted against it.	Nimeni nu a votat împotriva ei.
Nobody can escape death.	Nimeni nu poate evita moartea.
Oh, didn't I mention it?	Ah, nu am menționat-o?
Oil will float on water.	Uleiul va pluti pe apă.
Playing baseball is fun.	E distractiv să jucăm baseball.
Please come and help me.	Te rog, vino să mă ajuți.
Please come and help me.	Vino, te rog, și ajută-mă.
Please lend me your car.	Te rog, împrumută-mi mașina ta.
Please let go of my arm.	Te rog dă-mi drumul la mână.
Prices vary by location.	Prețurile variază în funcție de locație.
Prisons are overcrowded.	Penitenciarele sunt supraaglomerate.
Rosa Parks was arrested.	Rosa Parks a fost arestată.
She burst into laughter.	Ea a izbucnit în râs.
She changed the subject.	Ea a schimbat subiectul.
She made a bet with him.	Ea a făcut un pariu cu el.
She made him a new coat.	Ea i-a făcut o nouă haină.
She peeled him an apple.	Ea i-a curățat un măr.
She waited for my reply.	Mi-a aşteptat răspunsul.
She was about to go out.	Era pe cale să iasă afară.
She's heating the water.	Ea încălzește apa.
She's not a good person.	Ea nu e o persoană bună.
Shoes are sold in pairs.	Pantofii se vând la pereche.
Show me what you bought.	Arată-mi ce ai cumpărat.
Someone is watching you.	Cineva te privește.
Someone is watching you.	Cineva se uită la tine.
Take a book and read it.	Ia o carte și citește-o!
Tell me what to do here.	Spune-mi ce să fac aici.
Tell me what's going on.	Spune-mi ce se întâmplă.
That's common knowledge.	Acestea sunt cunoștințe comune.
That's not an easy feat.	Aceasta nu este o performanță obținută cu ușurință.
The air in here is foul.	Aerul de aici este poluat.
The author is Brazilian.	Autorul e brazilian.
The car turned abruptly.	Mașina s-a întors brusc.
The climb was strenuous.	Urcușul a fost obositor.
The concept is the same.	Conceptul este același.
The demand is very real.	Cererea este foarte reală.
The dog walked backward.	Câinele mergea înapoi.
The dog's collar is red.	Zgarda câinelui este roșie.
The guests are all gone.	Oaspeții sunt toți plecați.
The meat was very tough.	Carnea era foarte tare.
The meeting is tomorrow.	Întâlnirea e mâine.
The pain was unbearable.	Durerea era de nesuportat.
The rain was beneficial.	Ploaia a fost benefică.
The storm has died down.	Furtuna s-a potolit.
The storm has died down.	Furtuna s-a domolit.
The string is very weak.	Frânghia e foarte slabă.
The toy store is closed.	Magazinul de jucării s-a închis.
The treaty was approved.	Tratatul a fost aprobat.
