"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EncPorchSF","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SalePrice"
"250",250,"20","RL",87,11029,NA,"IR1","Lvl","Corner","Gtl","NAmes","Norm","1Fam","1Story",6,8,1958,2002,"Hip","MetalSd","MetalSd","None",0,"AboveAvg","Avg","CBlock","AboveAvg","Avg","No","ALQ",528,"BLQ",411,245,1184,"GasA","AboveAvg","Y","SBrkr",1414,0,0,1414,1,0,1,0,3,1,"Avg",6,"Min1",1,"Avg","Attchd",1990,"Unf",2,601,"Avg","Avg","Y",0,51,190,0,NA,NA,NA,0,5,2008,"WD",176500
"251",251,"60","RL",NA,9505,NA,"IR1","Lvl","CulDSac","Gtl","Gilbert","Norm","1Fam","2Story",7,5,2001,2001,"Gable","VinylSd","VinylSd","BrkFace",180,"AboveAvg","Avg","PConc","AboveAvg","Avg","No","Unf",0,"Unf",0,884,884,"GasA","AboveAvg","Y","SBrkr",884,1151,0,2035,0,0,2,1,3,1,"AboveAvg",8,"Typ",1,"AboveAvg","BuiltIn",2001,"Fin",2,434,"Avg","Avg","Y",144,48,0,0,NA,NA,NA,0,5,2010,"WD",222500
"252",252,"50","RL",80,9600,NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1.5Fin",6,8,1950,2005,"Gable","VinylSd","VinylSd","None",0,"Avg","AboveAvg","CBlock","Avg","Avg","No","BLQ",120,"Unf",0,736,856,"GasA","AboveAvg","Y","SBrkr",1112,556,0,1668,0,0,1,1,3,1,"Avg",6,"Min2",0,NA,"Attchd",1950,"Unf",1,271,"Avg","Avg","Y",0,0,0,0,NA,"MnPrv",NA,0,9,2009,"WD",140000
"253",253,"85","RL",NA,9180,NA,"IR1","Lvl","CulDSac","Gtl","SawyerW","Norm","1Fam","SFoyer",5,7,1983,1983,"Gable","HdBoard","HdBoard","None",0,"Avg","Avg","CBlock","AboveAvg","Avg","Av","ALQ",747,"LwQ",93,0,840,"GasA","AboveAvg","Y","SBrkr",884,0,0,884,1,0,1,0,2,1,"AboveAvg",5,"Typ",0,NA,"Attchd",1983,"RFn",2,504,"Avg","AboveAvg","Y",240,0,0,0,NA,"MnPrv",NA,0,12,2007,"WD",144000
"254",254,"75","RM",87,18386,NA,"Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam","2.5Fin",7,9,1880,2002,"Gable","CemntBd","CmentBd","None",0,"Avg","Avg","BrkTil","Avg","Avg","No","Unf",0,"Unf",0,1470,1470,"GasA","AboveAvg","Y","SBrkr",1675,1818,0,3493,0,0,3,0,3,1,"AboveAvg",10,"Typ",1,"AboveAvg","Attchd",2003,"Unf",3,870,"Avg","Avg","Y",302,0,0,0,NA,NA,NA,0,5,2008,"WD",295000
"255",255,"20","RL",60,11664,NA,"Reg","Lvl","Inside","Gtl","NAmes","Artery","1Fam","1Story",6,5,1948,1950,"Gable","MetalSd","MetalSd","BrkFace",206,"Avg","Avg","CBlock","Avg","BelowAvg","No","BLQ",336,"Unf",0,746,1082,"GasA","Avg","Y","SBrkr",1082,0,0,1082,0,0,1,0,2,1,"Avg",5,"Typ",1,"AboveAvg","Detchd",1948,"Unf",1,240,"Avg","Avg","Y",0,130,0,0,NA,NA,NA,0,11,2007,"WD",119200
"256",256,"20","RL",NA,16381,NA,"IR1","Lvl","Inside","Gtl","Crawfor","Norm","1Fam","1Story",6,5,1969,1969,"Gable","Plywood","Plywood","BrkFace",312,"AboveAvg","AboveAvg","CBlock","Avg","Avg","Av","Rec",1110,"Unf",0,734,1844,"GasA","AboveAvg","Y","SBrkr",1844,0,0,1844,1,0,2,0,3,1,"AboveAvg",7,"Typ",1,"Avg","Attchd",1969,"RFn",2,540,"Avg","Avg","Y",0,73,216,0,NA,NA,NA,0,12,2006,"WD",223000
"257",257,"20","RL",75,9742,NA,"Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",8,5,2002,2002,"Hip","VinylSd","VinylSd","BrkFace",281,"AboveAvg","Avg","PConc","AboveAvg","Avg","No","Unf",0,"Unf",0,1777,1777,"GasA","AboveAvg","Y","SBrkr",1795,0,0,1795,0,0,2,0,3,1,"AboveAvg",7,"Typ",1,"AboveAvg","Attchd",2002,"RFn",2,534,"Avg","Avg","Y",171,159,0,0,NA,NA,NA,0,9,2008,"WD",230000
"258",258,"20","RL",72,10011,NA,"IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,6,1957,1996,"Gable","HdBoard","HdBoard","BrkFace",64,"Avg","Avg","CBlock","Avg","Avg","No","BLQ",360,"Unf",0,710,1070,"GasA","Avg","Y","SBrkr",1236,0,0,1236,0,1,1,0,2,1,"AboveAvg",6,"Min1",1,"BelowAvg","Attchd",1957,"Unf",1,447,"Avg","Avg","Y",0,0,0,0,NA,"MnPrv",NA,0,5,2006,"WD",134450
"259",259,"60","RL",73,9066,NA,"IR1","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story",8,5,1999,2000,"Gable","VinylSd","VinylSd","BrkFace",320,"AboveAvg","Avg","PConc","AboveAvg","Avg","Mn","GLQ",668,"Unf",0,336,1004,"GasA","AboveAvg","Y","SBrkr",1004,848,0,1852,0,0,2,1,3,1,"AboveAvg",7,"Typ",2,"Avg","Attchd",1999,"Fin",3,660,"Avg","Avg","Y",224,106,0,0,NA,"GdPrv",NA,0,12,2008,"WD",230000
"260",260,"85","RL",54,7244,NA,"Reg","Lvl","Inside","Gtl","Mitchel","Norm","1Fam","SFoyer",5,7,1970,1970,"Gable","VinylSd","VinylSd","None",0,"Avg","AboveAvg","CBlock","AboveAvg","Avg","Av","ALQ",619,"Unf",0,149,768,"GasA","AboveAvg","Y","SBrkr",768,0,0,768,1,0,1,0,2,1,"Avg",5,"Typ",0,NA,"Detchd",1987,"Unf",2,624,"Avg","Avg","Y",104,0,0,0,NA,NA,NA,0,4,2007,"WD",129500
"261",261,"50","RL",NA,11250,NA,"Reg","Lvl","Inside","Gtl","ClearCr","Norm","1Fam","1.5Fin",4,5,1957,1989,"Gable","Wd Sdng","Wd Sdng","None",0,"Avg","Avg","CBlock","Avg","Avg","Av","Unf",0,"Unf",0,1104,1104,"GasA","AboveAvg","Y","FuseA",1104,684,0,1788,1,0,1,0,5,1,"Avg",8,"Min2",2,"Avg","Attchd",1957,"Unf",1,304,"Avg","Avg","Y",120,0,0,0,NA,NA,NA,0,11,2009,"WD",161500
"262",262,"20","RL",85,14536,NA,"Reg","Lvl","Inside","Gtl","Timber","Norm","1Fam","1Story",8,5,2002,2003,"Hip","VinylSd","VinylSd","BrkFace",236,"AboveAvg","Avg","PConc","AboveAvg","Avg","Av","GLQ",1300,"Unf",0,316,1616,"GasA","AboveAvg","Y","SBrkr",1629,0,0,1629,1,0,2,0,3,1,"AboveAvg",9,"Typ",1,"AboveAvg","Attchd",2002,"Fin",3,808,"Avg","Avg","Y",0,252,0,0,NA,NA,NA,0,11,2007,"WD",270000
"263",263,"60","RL",60,21930,NA,"IR3","Lvl","Inside","Gtl","Gilbert","RR","1Fam","2Story",5,5,2005,2005,"Gable","VinylSd","VinylSd","None",0,"AboveAvg","Avg","PConc","AboveAvg","AboveAvg","Av","Unf",0,"Unf",0,732,732,"GasA","AboveAvg","Y","SBrkr",734,1104,0,1838,0,0,2,1,4,1,"Avg",7,"Typ",1,"AboveAvg","BuiltIn",2005,"Fin",2,372,"Avg","Avg","Y",100,40,0,0,NA,NA,NA,0,7,2006,"WD",192140
"264",264,"20","RL",100,21750,NA,"Reg","Lvl","Inside","Gtl","Mitchel","Norm","1Fam","1Story",5,4,1960,2006,"Hip","HdBoard","HdBoard","BrkFace",75,"Avg","BelowAvg","other",NA,NA,NA,NA,0,NA,0,0,0,"GasA","Avg","Y","SBrkr",1771,0,0,1771,0,0,1,0,3,1,"Avg",9,"Min1",1,"Avg","Attchd",1960,"Unf",2,336,"Avg","Avg","Y",0,0,0,0,NA,"GdPrv",NA,0,11,2009,"WD",115000
"265",265,"50","RL",60,7200,NA,"Reg","Lvl","Corner","Gtl","other","Feedr","1Fam","1.5Fin",5,7,1937,1950,"Gable","Wd Sdng","Wd Sdng","BrkFace",252,"Avg","Avg","BrkTil","AboveAvg","Avg","No","ALQ",569,"Unf",0,162,731,"GasA","AboveAvg","Y","SBrkr",981,787,0,1768,1,0,1,1,3,1,"AboveAvg",7,"Typ",2,"Avg","Detchd",1939,"Unf",1,240,"Avg","Avg","Y",0,0,264,0,NA,"MnPrv",NA,0,6,2007,"WD",175000
"266",266,"20","RL",77,9320,NA,"IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",4,5,1959,1959,"Gable","Plywood","Plywood","None",0,"Avg","Avg","CBlock","Avg","Avg","No","ALQ",569,"Unf",0,381,950,"GasA","BelowAvg","Y","SBrkr",1225,0,0,1225,1,0,1,1,3,1,"Avg",6,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,"Y",352,0,0,0,NA,NA,"Shed",400,1,2010,"WD",128950
"267",267,"60","RL",65,15426,NA,"IR1","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story",6,5,1997,1997,"Gable","VinylSd","VinylSd","None",0,"Avg","Avg","PConc","AboveAvg","Avg","No","GLQ",821,"Unf",0,107,928,"GasA","AboveAvg","Y","SBrkr",928,836,0,1764,1,0,2,1,3,1,"AboveAvg",7,"Typ",0,NA,"Attchd",1997,"RFn",2,470,"Avg","Avg","Y",276,99,0,0,NA,"MnPrv",NA,0,8,2009,"WD",231500
"268",268,"20","RL",NA,6173,NA,"IR1","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story",5,6,1967,1967,"Gable","HdBoard","Wd Sdng","BrkFace",75,"Avg","Avg","CBlock","Avg","Avg","No","GLQ",599,"Unf",0,277,876,"GasA","Avg","Y","SBrkr",902,0,0,902,0,0,1,0,3,1,"Avg",6,"Typ",0,NA,"Attchd",1967,"Unf",1,288,"Avg","Avg","Y",0,0,0,0,NA,"MnPrv",NA,0,8,2007,"WD",125500
"269",269,"20","RL",78,10140,NA,"Reg","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","1Story",5,6,1975,1975,"Gable","HdBoard","HdBoard","None",0,"Avg","Avg","CBlock","AboveAvg","Avg","No","ALQ",788,"Unf",0,268,1056,"GasA","AboveAvg","Y","SBrkr",1074,0,0,1074,1,0,1,1,3,1,"Avg",6,"Typ",0,NA,"Attchd",1975,"RFn",2,495,"Avg","Avg","Y",0,88,0,0,NA,"MnPrv",NA,0,7,2006,"WD",153500
"270",270,"75","RM",35,6300,"Grvl","Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam","2.5Unf",6,6,1914,2001,"Gable","Wd Sdng","Wd Shng","None",0,"Avg","Avg","CBlock","Avg","Avg","No","Unf",0,"Unf",0,742,742,"GasA","AboveAvg","Y","SBrkr",742,742,0,1484,0,0,2,0,3,1,"Avg",9,"Typ",1,"AboveAvg",NA,NA,NA,0,0,NA,NA,"Y",0,291,134,0,NA,NA,NA,0,6,2008,"WD",128000
"271",271,"160","RL",44,5306,NA,"IR1","Lvl","Inside","Gtl","other","Norm","TwnhsE","2Story",7,7,1987,1987,"Gable","HdBoard","HdBoard","None",0,"AboveAvg","AboveAvg","PConc","AboveAvg","AboveAvg","No","GLQ",495,"Rec",215,354,1064,"GasA","AboveAvg","Y","SBrkr",1064,703,0,1767,1,0,2,0,2,1,"AboveAvg",5,"Typ",1,"Avg","Attchd",1987,"RFn",2,504,"AboveAvg","Avg","Y",441,35,0,0,NA,NA,NA,0,6,2006,"WD",239000
"272",272,"120","RM",44,4224,NA,"Reg","Lvl","Inside","Gtl","other","Norm","TwnhsE","1Story",5,5,1976,1976,"Gable","CemntBd","CmentBd","None",0,"Avg","Avg","PConc","AboveAvg","Avg","No","ALQ",874,"Unf",0,268,1142,"GasA","Avg","Y","SBrkr",1142,0,0,1142,1,0,1,1,3,1,"Avg",6,"Typ",1,"BelowAvg","Attchd",1976,"Fin",2,528,"Avg","Avg","Y",536,90,0,0,NA,"MnPrv",NA,0,8,2007,"WD",134000
"273",273,"70","RL",54,7588,NA,"Reg","Lvl","Inside","Gtl","Crawfor","Norm","1Fam","2Story",7,6,1920,1950,"Gable","other","other","None",0,"Avg","Avg","BrkTil","BelowAvg","Avg","No","LwQ",352,"Unf",0,441,793,"GasA","AboveAvg","Y","SBrkr",901,901,0,1802,0,0,1,1,4,1,"Avg",9,"Typ",1,"AboveAvg","Detchd",1920,"Unf",1,216,"BelowAvg","Avg","Y",0,0,40,0,NA,NA,NA,0,7,2006,"WD",200100
"274",274,"20","RL",60,10434,NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",4,5,1955,1955,"Gable","Plywood","Plywood","None",0,"Avg","Avg","CBlock","Avg","Avg","No","Unf",0,"Unf",0,1005,1005,"GasA","Avg","Y","SBrkr",1005,0,0,1005,0,0,1,0,2,1,"BelowAvg",5,"Typ",1,"Avg","Detchd",1977,"Unf",2,672,"BelowAvg","BelowAvg","Y",0,0,0,0,NA,NA,NA,0,11,2009,"WD",115000
"275",275,"160","FV",24,2645,"Pave","Reg","Lvl","Inside","Gtl","Somerst","Norm","Twnhs","2Story",8,5,1999,2000,"Gable","MetalSd","MetalSd","BrkFace",456,"AboveAvg","Avg","PConc","AboveAvg","Avg","No","Unf",0,"Unf",0,776,776,"GasA","AboveAvg","Y","SBrkr",764,677,0,1441,0,0,2,1,2,1,"AboveAvg",5,"Typ",0,NA,"Detchd",1999,"Unf",2,492,"Avg","Avg","Y",206,0,0,0,NA,NA,NA,0,11,2007,"WD",174000
"276",276,"70","RM",51,6120,NA,"Reg","Lvl","Inside","Gtl","BrkSide","Norm","1Fam","2Story",5,8,1920,2004,"Gable","MetalSd","MetalSd","None",0,"Avg","Avg","BrkTil","Avg","Avg","Mn","Unf",0,"Unf",0,939,939,"GasA","AboveAvg","Y","SBrkr",939,574,0,1513,0,0,1,1,4,1,"Avg",8,"Typ",0,NA,"Detchd",1933,"Unf",1,180,"BelowAvg","BelowAvg","N",24,0,150,0,NA,NA,NA,0,5,2007,"WD",137500
"277",277,"20","RL",87,10000,NA,"IR1","Lvl","Corner","Gtl","NAmes","Norm","1Fam","1Story",6,6,1962,1962,"Hip","Wd Sdng","Wd Sdng","BrkFace",261,"Avg","Avg","CBlock","Avg","Avg","No","Unf",0,"Unf",0,1116,1116,"GasA","Avg","Y","SBrkr",1116,0,0,1116,0,0,1,1,3,1,"Avg",5,"Typ",0,NA,"Attchd",1962,"Unf",2,440,"Avg","Avg","Y",0,0,385,0,NA,NA,NA,0,2,2010,"WD",160000
"278",278,"60","RL",108,13418,NA,"Reg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","2Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","Stone",132,"AboveAvg","Avg","PConc","AboveAvg","Avg","Av","Unf",0,"Unf",0,1117,1117,"GasA","AboveAvg","Y","SBrkr",1132,1320,0,2452,0,0,3,1,4,1,"AboveAvg",9,"Typ",1,"AboveAvg","BuiltIn",2004,"Fin",3,691,"Avg","Avg","Y",113,32,0,0,NA,NA,NA,0,9,2006,"WD",309000
"279",279,"20","RL",79,10634,NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,6,1953,1953,"Gable","MetalSd","MetalSd","None",0,"Avg","Avg","PConc","Avg","Avg","No","BLQ",428,"LwQ",180,0,608,"GasA","Avg","Y","SBrkr",1319,0,0,1319,1,0,1,0,3,1,"Avg",5,"Min2",0,NA,"Attchd",1953,"Unf",1,270,"Avg","Avg","Y",66,0,0,0,NA,"GdWo",NA,0,11,2009,"WD",123000
"280",280,"20","RL",122,11923,NA,"IR1","Lvl","Corner","Gtl","CollgCr","Norm","1Fam","1Story",9,5,2007,2007,"Gable","VinylSd","VinylSd","None",0,"AboveAvg","Avg","PConc","AboveAvg","Avg","No","Unf",0,"Unf",0,1800,1800,"GasA","AboveAvg","Y","SBrkr",1800,0,0,1800,0,0,2,0,2,1,"AboveAvg",7,"Typ",0,NA,"Attchd",2007,"Fin",2,702,"Avg","Avg","Y",288,136,0,0,NA,NA,NA,0,5,2009,"WD",239000
"281",281,"160","RL",24,2280,NA,"Reg","Lvl","Inside","Gtl","other","Norm","Twnhs","2Story",6,5,1978,1978,"Gable","Plywood","other","None",0,"Avg","Avg","CBlock","AboveAvg","Avg","No","ALQ",311,"Unf",0,544,855,"GasA","BelowAvg","Y","SBrkr",855,601,0,1456,0,0,2,1,3,1,"Avg",7,"Typ",1,"Avg","Attchd",1978,"Unf",2,440,"Avg","Avg","Y",26,0,0,0,NA,NA,NA,0,7,2010,"WD",146000
"282",282,"20","RL",65,7150,NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,5,1967,1967,"Gable","HdBoard","HdBoard","BrkFace",60,"Avg","Avg","CBlock","Avg","Avg","No","BLQ",432,"Unf",0,460,892,"GasA","Avg","Y","SBrkr",892,0,0,892,0,0,1,0,3,1,"Avg",5,"Typ",0,NA,"Attchd",1967,"RFn",1,288,"Avg","Avg","Y",0,0,0,0,NA,"GdWo",NA,0,7,2009,"WD",100000
"283",283,"160","FV",34,3230,"Pave","Reg","Lvl","Corner","Gtl","Somerst","Norm","TwnhsE","2Story",6,5,1999,1999,"Gable","MetalSd","MetalSd","BrkFace",1129,"Avg","Avg","PConc","AboveAvg","Avg","No","GLQ",419,"Unf",0,310,729,"GasA","AboveAvg","Y","SBrkr",729,729,0,1458,0,0,2,1,2,1,"Avg",5,"Typ",1,"BelowAvg","Detchd",1999,"Unf",2,440,"Avg","Avg","Y",0,32,0,0,NA,NA,NA,0,6,2007,"WD",176000
"284",284,"20","RL",NA,8246,NA,"IR1","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story",5,8,1968,2001,"Gable","Plywood","Plywood","None",0,"Avg","AboveAvg","CBlock","Avg","Avg","Mn","Rec",188,"ALQ",668,204,1060,"GasA","AboveAvg","Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"AboveAvg",6,"Typ",1,"Avg","Attchd",1968,"Unf",1,270,"Avg","Avg","Y",406,90,0,0,NA,"MnPrv",NA,0,5,2010,"WD",154000
"285",285,"20","RL",50,8000,NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,6,1948,2002,"Gable","VinylSd","VinylSd","None",0,"Avg","AboveAvg","CBlock","Avg","Avg","No","ALQ",680,"Unf",0,292,972,"GasA","AboveAvg","Y","SBrkr",972,0,0,972,1,0,1,0,2,1,"Avg",5,"Typ",1,"AboveAvg","Detchd",1948,"Unf",1,240,"Avg","Avg","Y",0,0,0,0,NA,NA,NA,0,5,2009,"WD",132000
"286",286,"50","RL",NA,7015,NA,"IR1","Bnk","Corner","Gtl","BrkSide","Norm","1Fam","1.5Fin",5,4,1950,1950,"Gable","MetalSd","MetalSd","BrkCmn",161,"Avg","Avg","CBlock","Avg","Avg","No","LwQ",185,"Unf",0,524,709,"GasA","Avg","Y","SBrkr",979,224,0,1203,1,0,1,0,3,1,"AboveAvg",5,"Typ",1,"Avg","Detchd",1950,"Unf",1,352,"Avg","Avg","Y",0,0,248,0,NA,NA,NA,0,7,2009,"WD",110000
"287",287,"90","RL",72,10778,NA,"Reg","Lvl","Inside","Gtl","Sawyer","Norm","Duplex","1Story",4,5,1968,1968,"Hip","HdBoard","HdBoard","None",0,"Avg","Avg","CBlock","Avg","Avg","No","Unf",0,"Unf",0,1768,1768,"GasA","Avg","N","SBrkr",1768,0,0,1768,0,0,2,0,4,2,"Avg",8,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,"Y",0,0,0,0,NA,NA,NA,0,4,2010,"WD",136500
"288",288,"20","RL",70,7560,NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,5,1959,1959,"Gable","BrkFace","Wd Sdng","None",0,"Avg","Avg","CBlock","Avg","Avg","No","LwQ",369,"Unf",0,671,1040,"GasA","Avg","Y","FuseA",1040,0,0,1040,0,0,1,0,3,1,"Avg",6,"Typ",0,NA,"Attchd",1959,"RFn",1,286,"Avg","Avg","Y",140,0,252,0,NA,"GdWo",NA,0,7,2006,"WD",133700
"289",289,"70","RL",79,11526,NA,"IR1","Bnk","Inside","Mod","Crawfor","Norm","1Fam","2.5Fin",6,7,1922,1994,"Gable","MetalSd","MetalSd","None",0,"Avg","Avg","BrkTil","AboveAvg","Avg","No","Unf",0,"Unf",0,588,588,"GasA","BelowAvg","Y","SBrkr",1423,748,384,2555,0,0,2,0,3,1,"Avg",11,"Min1",1,"AboveAvg","Detchd",1993,"Fin",2,672,"Avg","Avg","Y",431,0,0,0,NA,NA,NA,0,9,2008,"WD",191000
"290",290,"80","RL",76,9967,NA,"IR1","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","SLvl",7,5,2000,2000,"Gable","VinylSd","VinylSd","None",0,"Avg","Avg","PConc","AboveAvg","Avg","No","Unf",0,"Unf",0,384,384,"GasA","AboveAvg","Y","SBrkr",774,656,0,1430,0,0,2,1,3,1,"Avg",8,"Typ",1,"Avg","BuiltIn",2000,"RFn",2,400,"Avg","Avg","Y",100,0,0,0,NA,NA,NA,0,12,2007,"WD",170000
"291",291,"85","RL",NA,9101,NA,"IR1","Lvl","Corner","Gtl","Mitchel","Norm","1Fam","SFoyer",5,6,1978,1978,"Gable","Plywood","Plywood","BrkFace",104,"Avg","AboveAvg","PConc","AboveAvg","Avg","Av","GLQ",1097,"Unf",0,0,1097,"GasA","AboveAvg","Y","SBrkr",1110,0,0,1110,1,0,1,0,1,1,"AboveAvg",4,"Typ",1,"Avg","Attchd",1978,"Fin",2,602,"Avg","Avg","Y",303,30,0,0,NA,NA,NA,0,7,2009,"WD",165500
"292",292,"120","RL",50,8012,NA,"Reg","Lvl","Inside","Gtl","SawyerW","Norm","TwnhsE","1Story",6,5,1993,1994,"Gable","Plywood","Plywood","None",0,"AboveAvg","Avg","PConc","AboveAvg","Avg","No","LwQ",165,"GLQ",841,598,1604,"GasA","AboveAvg","Y","SBrkr",1617,0,0,1617,1,0,2,0,2,1,"AboveAvg",5,"Typ",1,"BelowAvg","Attchd",1993,"RFn",2,533,"Avg","Avg","Y",0,69,0,0,NA,NA,NA,0,7,2008,"WD",193000
"293",293,"20","RL",85,10200,NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,7,1954,2003,"Gable","Wd Sdng","Wd Sdng","BrkFace",104,"Avg","Avg","CBlock","Avg","Avg","No","ALQ",320,"BLQ",362,404,1086,"GasA","AboveAvg","Y","SBrkr",1086,0,0,1086,1,0,1,0,3,1,"Avg",6,"Typ",0,NA,"Attchd",1989,"Unf",2,490,"Avg","Avg","Y",0,0,0,0,NA,"GdWo",NA,0,5,2010,"WD",144900
"294",294,"20","RL",78,7800,NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,6,1954,1954,"Gable","HdBoard","HdBoard","BrkFace",200,"Avg","Avg","PConc","Avg","Avg","No","LwQ",540,"Unf",0,728,1268,"GasA","AboveAvg","Y","SBrkr",1268,0,0,1268,0,0,1,0,2,1,"Avg",7,"Typ",1,"AboveAvg","Attchd",1954,"Fin",1,244,"Avg","Avg","Y",0,98,0,0,NA,NA,NA,0,3,2010,"WD",132000
"295",295,"75","RL",60,6204,NA,"Reg","Bnk","Inside","Gtl","other","Norm","1Fam","2.5Fin",4,5,1912,1950,"Gable","Wd Sdng","Wd Sdng","None",0,"AboveAvg","Avg","PConc","Avg","BelowAvg","No","Unf",0,"Unf",0,795,795,"GasA","Avg","N","SBrkr",954,795,481,2230,1,0,1,0,5,1,"Avg",10,"Typ",0,NA,"Detchd",1997,"Unf",1,440,"Avg","AboveAvg","Y",0,188,0,0,NA,NA,NA,0,3,2006,"WD",118500
"296",296,"70","RM",60,9600,"Grvl","Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam","2Story",7,7,1925,1990,"Gable","Wd Sdng","Wd Sdng","None",0,"Avg","Avg","BrkTil","Avg","AboveAvg","No","LwQ",16,"Unf",0,712,728,"GasA","AboveAvg","Y","SBrkr",832,809,0,1641,0,1,1,1,3,1,"AboveAvg",6,"Typ",1,"AboveAvg","Detchd",1925,"Unf",2,546,"BelowAvg","Avg","Y",0,0,234,0,NA,NA,NA,0,8,2006,"WD",178000
"297",297,"20","RL",60,8172,NA,"Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","1Story",5,7,1955,1990,"Hip","other","Plywood","None",0,"Avg","Avg","CBlock","Avg","Avg","No","Rec",167,"Unf",0,697,864,"GasA","Avg","Y","SBrkr",864,0,0,864,1,0,1,0,2,1,"Avg",5,"Typ",0,NA,"Detchd",1957,"Unf",2,572,"Avg","Avg","N",0,0,0,0,NA,NA,NA,0,4,2006,"WD",115000
"298",298,"20","RL",80,9600,NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,6,1956,1956,"Hip","MetalSd","MetalSd","None",0,"Avg","Avg","CBlock","Avg","Avg","No","Rec",504,"Unf",0,546,1050,"GasA","AboveAvg","Y","SBrkr",1050,0,0,1050,0,0,1,0,2,1,"Avg",5,"Typ",0,NA,"Attchd",1956,"Unf",1,338,"Avg","Avg","Y",0,0,0,0,NA,NA,NA,0,6,2009,"WD",128900
"299",299,"60","RL",NA,7861,NA,"IR1","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","2Story",6,5,2002,2003,"Gable","VinylSd","VinylSd","None",0,"AboveAvg","Avg","PConc","AboveAvg","Avg","No","GLQ",457,"Unf",0,326,783,"GasA","AboveAvg","Y","SBrkr",807,702,0,1509,1,0,2,1,3,1,"AboveAvg",7,"Typ",1,"AboveAvg","Attchd",2002,"Fin",2,393,"Avg","Avg","Y",100,75,0,0,NA,NA,NA,0,6,2006,"WD",183200
"300",300,"20","RL",66,13695,NA,"Reg","Lvl","Inside","Gtl","SawyerW","RR","1Fam","1Story",5,5,2004,2004,"Gable","VinylSd","VinylSd","None",0,"Avg","Avg","PConc","Avg","Avg","No","GLQ",646,"Unf",0,468,1114,"GasA","AboveAvg","Y","SBrkr",1114,0,0,1114,1,0,1,1,3,1,"AboveAvg",6,"Typ",0,NA,"Detchd",2004,"Unf",2,576,"Avg","Avg","Y",0,102,0,0,NA,NA,NA,0,6,2008,"WD",159000
